City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,inari,68.906,27.0288,-5.89,94,92,2.32,FI,1709005870
339,kuching,1.55,110.3333,30.61,72,40,3.09,MY,1709005871
340,lexington,37.9887,-84.4777,18.0,53,0,6.69,US,1709005411
341,greymouth,-42.4667,171.2,17.79,61,62,3.1,NZ,1709005661
342,kirovsk,48.6375,38.6428,-3.47,67,68,6.26,UA,1709005871
343,ranchettes,41.2186,-104.7903,6.91,41,0,7.72,US,1709005871
344,arteche,12.2645,125.4048,27.87,62,60,6.0,PH,1709005871
345,radashkovichy,54.1551,27.2424,3.69,89,100,5.18,BY,1709005872
346,uturoa,-16.7333,-151.4333,28.99,75,14,4.49,PF,1709005872
347,narra,9.3167,118.4,29.03,61,56,7.47,PH,1709005872
348,cajazeiras,-6.8903,-38.5553,24.98,74,100,0.74,BR,1709005872
349,inyati,-19.6756,28.8469,18.27,84,86,5.67,ZW,1709005872
350,akjoujt,19.6969,-14.4164,22.21,19,0,4.03,MR,1709005872
351,ocean city,39.2776,-74.5746,5.56,90,89,1.34,US,1709005873
352,pisco,-13.7,-76.2167,24.45,83,100,5.14,PE,1709005873
353,severo-yeniseyskiy,60.3725,93.0408,-19.12,95,97,0.89,RU,1709005873
354,pombas,17.1503,-25.0201,20.88,70,56,5.07,CV,1709005873
355,laguna,38.421,-121.4238,14.19,76,0,6.17,US,1709005672
356,rostovka,55.3842,71.8891,-5.46,96,90,2.14,RU,1709005874
357,cotonou,6.3654,2.4183,28.99,84,40,5.14,BJ,1709005874
358,noosa heads,-26.3833,153.15,30.06,73,37,5.02,AU,1709005874
